s.value,Seq_Len
https://synbiohub.org/public/igem/BBa_K827015/1,0
https://synbiohub.org/public/igem/BBa_K203102/1,0
https://synbiohub.org/public/igem/BBa_J23097/1,0
https://synbiohub.org/public/igem/BBa_K1529950/1,0
https://synbiohub.org/public/igem/BBa_K122013/1,1
https://synbiohub.org/public/igem/BBa_J58006/1,3
https://synbiohub.org/public/igem/BBa_M36117/1,3
https://synbiohub.org/public/igem/BBa_I766340/1,9
https://synbiohub.org/public/igem/BBa_T1020/1,12
https://synbiohub.org/public/igem/BBa_J133427/1,12
https://synbiohub.org/public/igem/BBa_J133426/1,12
https://synbiohub.org/public/igem/BBa_J133425/1,12
https://synbiohub.org/public/igem/BBa_J133424/1,12
https://synbiohub.org/public/igem/BBa_J133423/1,12
https://synbiohub.org/public/igem/BBa_J133422/1,12
https://synbiohub.org/public/igem/BBa_J133421/1,12
https://synbiohub.org/public/igem/BBa_J176016/1,13
https://synbiohub.org/public/igem/BBa_K844011/1,15
https://synbiohub.org/public/igem/BBa_K1529923/1,18
https://synbiohub.org/public/igem/BBa_K1051008/1,18
https://synbiohub.org/public/igem/BBa_K1529998/1,20
https://synbiohub.org/public/igem/BBa_K1510104/1,22
https://synbiohub.org/public/igem/BBa_J133451/1,28
https://synbiohub.org/public/igem/BBa_K131007/1,28
https://synbiohub.org/public/igem/BBa_M1700/1,30
https://synbiohub.org/public/igem/BBa_K1051006/1,31
https://synbiohub.org/public/igem/BBa_B0050/1,33
https://synbiohub.org/public/igem/BBa_B0060/1,33
https://synbiohub.org/public/igem/BBa_J133450/1,33
https://synbiohub.org/public/igem/BBa_K1994043/1,33
https://synbiohub.org/public/igem/BBa_B1001/1,34
https://synbiohub.org/public/igem/BBa_M36376/1,34
https://synbiohub.org/public/igem/BBa_B1002/1,34
https://synbiohub.org/public/igem/BBa_B1003/1,34
https://synbiohub.org/public/igem/BBa_B1004/1,34
https://synbiohub.org/public/igem/BBa_B1005/1,34
https://synbiohub.org/public/igem/BBa_B1011/1,34
https://synbiohub.org/public/igem/BBa_M31977/1,34
https://synbiohub.org/public/igem/BBa_B0051/1,35
https://synbiohub.org/public/igem/BBa_B0061/1,35
https://synbiohub.org/public/igem/BBa_Z0271/1,37
https://synbiohub.org/public/igem/BBa_J72166/1,38
https://synbiohub.org/public/igem/BBa_M36267/1,39
https://synbiohub.org/public/igem/BBa_M36135/1,39
https://synbiohub.org/public/igem/BBa_B1006/1,39
https://synbiohub.org/public/igem/BBa_K131008/1,39
https://synbiohub.org/public/igem/BBa_K156029/1,39
https://synbiohub.org/public/igem/BBa_J133452/1,39
