similarity,node_uri
99.68051118210862,"['https://synbiohub.org/public/igem/BBa_K1199002/1', 'https://synbiohub.org/public/igem/BBa_K1199003/1']"
94.34126019788232,"['https://synbiohub.org/public/igem/BBa_I766995/1', 'https://synbiohub.org/public/igem/BBa_I766994/1']"
94.23620933521923,"['https://synbiohub.org/public/igem/BBa_K530030/1', 'https://synbiohub.org/public/igem/BBa_K530034/1']"
93.17747077577046,"['https://synbiohub.org/public/igem/BBa_K165060/1', 'https://synbiohub.org/public/igem/BBa_K950008/1']"
92.95896328293736,"['https://synbiohub.org/public/igem/BBa_I766996/1', 'https://synbiohub.org/public/igem/BBa_K950011/1']"
92.92073832790444,"['https://synbiohub.org/public/igem/BBa_K530028/1', 'https://synbiohub.org/public/igem/BBa_K530032/1']"
92.8082947275535,"['https://synbiohub.org/public/igem/BBa_K530031/1', 'https://synbiohub.org/public/igem/BBa_K530035/1']"
92.62943703368755,"['https://synbiohub.org/public/igem/BBa_K530029/1', 'https://synbiohub.org/public/igem/BBa_K530033/1']"
89.99500998003992,"['https://synbiohub.org/public/igem/BBa_I751000/1', 'https://synbiohub.org/public/igem/BBa_I739203/1']"
87.64981761334029,"['https://synbiohub.org/public/igem/BBa_K1391013/1', 'https://synbiohub.org/public/igem/BBa_K1391010/1']"
86.74717940568885,"['https://synbiohub.org/public/igem/BBa_I713014/1', 'https://synbiohub.org/public/igem/BBa_I713011/1', 'https://synbiohub.org/public/igem/BBa_I713012/1', 'https://synbiohub.org/public/igem/BBa_I713015/1', 'https://synbiohub.org/public/igem/BBa_I713009/1', 'https://synbiohub.org/public/igem/BBa_I713013/1', 'https://synbiohub.org/public/igem/BBa_I713016/1', 'https://synbiohub.org/public/igem/BBa_I713010/1']"
83.4612700628053,"['https://synbiohub.org/public/igem/BBa_K1391014/1', 'https://synbiohub.org/public/igem/BBa_K1391011/1']"
82.59654889071487,"['https://synbiohub.org/public/igem/BBa_I713021/1', 'https://synbiohub.org/public/igem/BBa_I713023/1']"
81.10586648685097,"['https://synbiohub.org/public/igem/BBa_K1391136/1', 'https://synbiohub.org/public/igem/BBa_K1391135/1', 'https://synbiohub.org/public/igem/BBa_K1391133/1', 'https://synbiohub.org/public/igem/BBa_K1391137/1']"
