similarity,node_uri
99.8972250770812,"['https://synbiohub.org/public/igem/BBa_K112113/1', 'https://synbiohub.org/public/igem/BBa_K112111/1']"
99.85935302390999,"['https://synbiohub.org/public/igem/BBa_K112210/1', 'https://synbiohub.org/public/igem/BBa_K112208/1']"
99.85401459854015,"['https://synbiohub.org/public/igem/BBa_K112102/1', 'https://synbiohub.org/public/igem/BBa_K112100/1']"
99.77011494252874,"['https://synbiohub.org/public/igem/BBa_K112003/1', 'https://synbiohub.org/public/igem/BBa_K112201/1']"
99.68253968253968,"['https://synbiohub.org/public/igem/BBa_K112303/1', 'https://synbiohub.org/public/igem/BBa_K112301/1']"
99.53051643192488,"['https://synbiohub.org/public/igem/BBa_K112315/1', 'https://synbiohub.org/public/igem/BBa_K112313/1']"
99.52153110047847,"['https://synbiohub.org/public/igem/BBa_K112309/1', 'https://synbiohub.org/public/igem/BBa_K112307/1']"
99.49238578680203,"['https://synbiohub.org/public/igem/BBa_K112216/1', 'https://synbiohub.org/public/igem/BBa_K112214/1']"
99.46524064171123,"['https://synbiohub.org/public/igem/BBa_K112222/1', 'https://synbiohub.org/public/igem/BBa_K112220/1']"
99.2467043314501,"['https://synbiohub.org/public/igem/BBa_K1390016/1', 'https://synbiohub.org/public/igem/BBa_K1390004/1']"
98.9821882951654,"['https://synbiohub.org/public/igem/BBa_K1390017/1', 'https://synbiohub.org/public/igem/BBa_K1390005/1']"
98.86363636363636,"['https://synbiohub.org/public/igem/BBa_K1390014/1', 'https://synbiohub.org/public/igem/BBa_K1390002/1']"
98.76543209876543,"['https://synbiohub.org/public/igem/BBa_J96010/1', 'https://synbiohub.org/public/igem/BBa_J96009/1']"
97.6958525345622,"['https://synbiohub.org/public/igem/BBa_K1514003/1', 'https://synbiohub.org/public/igem/BBa_K747091/1']"
97.40634005763688,"['https://synbiohub.org/public/igem/BBa_K1390018/1', 'https://synbiohub.org/public/igem/BBa_K1390006/1']"
97.40259740259741,"['https://synbiohub.org/public/igem/BBa_K112611/1', 'https://synbiohub.org/public/igem/BBa_K112613/1']"
97.24137931034483,"['https://synbiohub.org/public/igem/BBa_K1390013/1', 'https://synbiohub.org/public/igem/BBa_K1390001/1']"
97.0873786407767,"['https://synbiohub.org/public/igem/BBa_K1362479/1', 'https://synbiohub.org/public/igem/BBa_K1362401/1']"
96.96969696969697,"['https://synbiohub.org/public/igem/BBa_J96008/1', 'https://synbiohub.org/public/igem/BBa_J96004/1', 'https://synbiohub.org/public/igem/BBa_J96003/1']"
96.92307692307692,"['https://synbiohub.org/public/igem/BBa_K112610/1', 'https://synbiohub.org/public/igem/BBa_K112612/1']"
96.7741935483871,"['https://synbiohub.org/public/igem/BBa_J96005/1', 'https://synbiohub.org/public/igem/BBa_J96007/1', 'https://synbiohub.org/public/igem/BBa_J96006/1']"
96.68508287292818,"['https://synbiohub.org/public/igem/BBa_K165007/1', 'https://synbiohub.org/public/igem/BBa_K323063/1']"
96.55172413793103,"['https://synbiohub.org/public/igem/BBa_K811005/1', 'https://synbiohub.org/public/igem/BBa_K811003/1', 'https://synbiohub.org/public/igem/BBa_K811004/1']"
96.26168224299066,"['https://synbiohub.org/public/igem/BBa_K1390015/1', 'https://synbiohub.org/public/igem/BBa_K1390003/1']"
95.0920245398773,"['https://synbiohub.org/public/igem/BBa_K203000/1', 'https://synbiohub.org/public/igem/BBa_K203101/1']"
94.73684210526315,"['https://synbiohub.org/public/igem/BBa_K874020/1', 'https://synbiohub.org/public/igem/BBa_K874021/1']"
94.25287356321839,"['https://synbiohub.org/public/igem/BBa_K1781005/1', 'https://synbiohub.org/public/igem/BBa_K1781006/1']"
92.17687074829932,"['https://synbiohub.org/public/igem/BBa_K1085009/1', 'https://synbiohub.org/public/igem/BBa_K1085008/1']"
91.66666666666666,"['https://synbiohub.org/public/igem/BBa_T2022/1', 'https://synbiohub.org/public/igem/BBa_T2021/1']"
89.43295342619952,"['https://synbiohub.org/public/igem/BBa_J78003/1', 'https://synbiohub.org/public/igem/BBa_J78004/1']"
88.88888888888889,"['https://synbiohub.org/public/igem/BBa_T2013/1', 'https://synbiohub.org/public/igem/BBa_T2014/1']"
88.88888888888889,"['https://synbiohub.org/public/igem/BBa_K1486004/1', 'https://synbiohub.org/public/igem/BBa_K1486003/1']"
88.88888888888889,"['https://synbiohub.org/public/igem/BBa_K1362455/1', 'https://synbiohub.org/public/igem/BBa_K1362454/1']"
88.88888888888889,"['https://synbiohub.org/public/igem/BBa_T2004/1', 'https://synbiohub.org/public/igem/BBa_T2005/1']"
88.88888888888889,"['https://synbiohub.org/public/igem/BBa_K1638016/1', 'https://synbiohub.org/public/igem/BBa_K1638006/1', 'https://synbiohub.org/public/igem/BBa_K648006/1']"
88.23529411764706,"['https://synbiohub.org/public/igem/BBa_T2016/1', 'https://synbiohub.org/public/igem/BBa_T2017/1', 'https://synbiohub.org/public/igem/BBa_T2015/1']"
87.5,"['https://synbiohub.org/public/igem/BBa_T2018/1', 'https://synbiohub.org/public/igem/BBa_T2019/1', 'https://synbiohub.org/public/igem/BBa_T2020/1']"
87.5,"['https://synbiohub.org/public/igem/BBa_J96038/1', 'https://synbiohub.org/public/igem/BBa_K157012/1']"
87.5,"['https://synbiohub.org/public/igem/BBa_T2002/1', 'https://synbiohub.org/public/igem/BBa_T2000/1']"
87.10801393728222,"['https://synbiohub.org/public/igem/BBa_K1128007/1', 'https://synbiohub.org/public/igem/BBa_K1128008/1']"
85.71428571428571,"['https://synbiohub.org/public/igem/BBa_K1362452/1', 'https://synbiohub.org/public/igem/BBa_K2075003/1']"
85.71428571428571,"['https://synbiohub.org/public/igem/BBa_K1362453/1', 'https://synbiohub.org/public/igem/BBa_J96027/1']"
83.79204892966361,"['https://synbiohub.org/public/igem/BBa_K1848004/1', 'https://synbiohub.org/public/igem/BBa_K1848005/1']"
83.76880443388757,"['https://synbiohub.org/public/igem/BBa_K157026/1', 'https://synbiohub.org/public/igem/BBa_K157028/1']"
83.33333333333334,"['https://synbiohub.org/public/igem/BBa_K1362446/1', 'https://synbiohub.org/public/igem/BBa_K1362445/1']"
83.33333333333334,"['https://synbiohub.org/public/igem/BBa_T2006/1', 'https://synbiohub.org/public/igem/BBa_T2007/1', 'https://synbiohub.org/public/igem/BBa_T2008/1']"
82.88288288288288,"['https://synbiohub.org/public/igem/BBa_K1459012/1', 'https://synbiohub.org/public/igem/BBa_K1459013/1', 'https://synbiohub.org/public/igem/BBa_K1459014/1']"
81.81818181818183,"['https://synbiohub.org/public/igem/BBa_T2009/1', 'https://synbiohub.org/public/igem/BBa_T2010/1', 'https://synbiohub.org/public/igem/BBa_T2011/1']"
80.75288403157256,"['https://synbiohub.org/public/igem/BBa_K157039/1', 'https://synbiohub.org/public/igem/BBa_K157023/1']"
80.55555555555556,"['https://synbiohub.org/public/igem/BBa_J96017/1', 'https://synbiohub.org/public/igem/BBa_J96018/1', 'https://synbiohub.org/public/igem/BBa_J96019/1']"
80.47619047619048,"['https://synbiohub.org/public/igem/BBa_K157034/1', 'https://synbiohub.org/public/igem/BBa_K157036/1']"
80.3088803088803,"['https://synbiohub.org/public/igem/BBa_J18923/1', 'https://synbiohub.org/public/igem/BBa_K644002/1', 'https://synbiohub.org/public/igem/BBa_J18924/1']"
